Signature	Biliary-AdenoCA	Bladder-TCC	Bone-Osteosarc	Bone-Other	Breast	Cervix	CNS-GBM	CNS-Medullo	CNS-Oligo	CNS-PiloAstro	ColoRect-AdenoCA	Eso-AdenoCA	Head-SCC	Kidney-ChRCC	Kidney-RCC	Liver-HCC	Lung-AdenoCA	Lung-SCC	Lymph-BNHL	Lymph-CLL	Myeloid-AML	Myeloid-MDS	Myeloid-MPN	Ovary-AdenoCA	Panc-AdenoCA	Panc-Endocrine	Prost-AdenoCA	Skin-Melanoma	SoftTissue-Leiomyo	SoftTissue-Liposarc	Stomach-AdenoCA	Thy-AdenoCA	Uterus-AdenoCA
ID1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
ID2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
ID3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0
ID4	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1
ID5	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0
ID6	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1
ID7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID8	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
ID9	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1
ID10	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID11	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ID13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID14	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
